Rk,G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2016-10-26,24-236,TOR,,DET,W (+18),Inactive,,,,,,,,,,,,,,,,,,,,,
2,,2016-10-28,24-238,TOR,,CLE,L (-3),Inactive,,,,,,,,,,,,,,,,,,,,,
3,,2016-10-31,24-241,TOR,,DEN,W (+3),Inactive,,,,,,,,,,,,,,,,,,,,,
4,,2016-11-02,24-243,TOR,@,WAS,W (+10),Inactive,,,,,,,,,,,,,,,,,,,,,
5,,2016-11-04,24-245,TOR,,MIA,W (+9),Inactive,,,,,,,,,,,,,,,,,,,,,
6,,2016-11-06,24-247,TOR,,SAC,L (-5),Inactive,,,,,,,,,,,,,,,,,,,,,
7,,2016-11-09,24-250,TOR,@,OKC,W (+10),Inactive,,,,,,,,,,,,,,,,,,,,,
8,,2016-11-11,24-252,TOR,@,CHO,W (+2),Inactive,,,,,,,,,,,,,,,,,,,,,
9,,2016-11-12,24-253,TOR,,NYK,W (+11),Inactive,,,,,,,,,,,,,,,,,,,,,
10,,2016-11-15,24-256,TOR,@,CLE,L (-4),Inactive,,,,,,,,,,,,,,,,,,,,,
11,,2016-11-16,24-257,TOR,,GSW,L (-6),Inactive,,,,,,,,,,,,,,,,,,,,,
12,,2016-11-18,24-259,TOR,@,DEN,W (+2),Inactive,,,,,,,,,,,,,,,,,,,,,
13,,2016-11-20,24-261,TOR,@,SAC,L (-3),Inactive,,,,,,,,,,,,,,,,,,,,,
14,,2016-11-21,24-262,TOR,@,LAC,L (-8),Inactive,,,,,,,,,,,,,,,,,,,,,
15,,2016-11-23,24-264,TOR,@,HOU,W (+13),Inactive,,,,,,,,,,,,,,,,,,,,,
16,,2016-11-25,24-266,TOR,@,MIL,W (+6),Inactive,,,,,,,,,,,,,,,,,,,,,
17,,2016-11-28,24-269,TOR,,PHI,W (+27),Inactive,,,,,,,,,,,,,,,,,,,,,
18,,2016-11-30,24-271,TOR,,MEM,W (+15),Inactive,,,,,,,,,,,,,,,,,,,,,
19,,2016-12-02,24-273,TOR,,LAL,W (+33),Inactive,,,,,,,,,,,,,,,,,,,,,
20,,2016-12-03,24-274,TOR,,ATL,W (+44),Inactive,,,,,,,,,,,,,,,,,,,,,
21,,2016-12-05,24-276,TOR,,CLE,L (-4),Inactive,,,,,,,,,,,,,,,,,,,,,
22,,2016-12-08,24-279,TOR,,MIN,W (+14),Inactive,,,,,,,,,,,,,,,,,,,,,
23,,2016-12-09,24-280,TOR,@,BOS,W (+7),Inactive,,,,,,,,,,,,,,,,,,,,,
24,,2016-12-12,24-283,TOR,,MIL,W (+22),Inactive,,,,,,,,,,,,,,,,,,,,,
25,,2016-12-14,24-285,TOR,@,PHI,W (+9),Inactive,,,,,,,,,,,,,,,,,,,,,
26,,2016-12-16,24-287,TOR,,ATL,L (-4),Inactive,,,,,,,,,,,,,,,,,,,,,
27,,2016-12-18,24-289,TOR,@,ORL,W (+30),Inactive,,,,,,,,,,,,,,,,,,,,,
28,,2016-12-20,24-291,TOR,,BRK,W (+12),Inactive,,,,,,,,,,,,,,,,,,,,,
29,,2016-12-23,24-294,TOR,@,UTA,W (+6),Inactive,,,,,,,,,,,,,,,,,,,,,
30,,2016-12-26,24-297,TOR,@,POR,W (+4),Inactive,,,,,,,,,,,,,,,,,,,,,
31,,2016-12-28,24-299,TOR,@,GSW,L (-10),Inactive,,,,,,,,,,,,,,,,,,,,,
32,,2016-12-29,24-300,TOR,@,PHO,L (-8),Inactive,,,,,,,,,,,,,,,,,,,,,
33,,2017-01-01,24-303,TOR,@,LAL,W (+9),Inactive,,,,,,,,,,,,,,,,,,,,,
34,,2017-01-03,24-305,TOR,@,SAS,L (-28),Inactive,,,,,,,,,,,,,,,,,,,,,
35,,2017-01-05,24-307,TOR,,UTA,W (+8),Inactive,,,,,,,,,,,,,,,,,,,,,
36,,2017-01-07,24-309,TOR,@,CHI,L (-5),Inactive,,,,,,,,,,,,,,,,,,,,,
37,,2017-01-08,24-310,TOR,,HOU,L (-7),Inactive,,,,,,,,,,,,,,,,,,,,,
38,,2017-01-10,24-312,TOR,,BOS,W (+8),Inactive,,,,,,,,,,,,,,,,,,,,,
39,,2017-01-13,24-315,TOR,,BRK,W (+19),Inactive,,,,,,,,,,,,,,,,,,,,,
40,,2017-01-15,24-317,TOR,,NYK,W (+15),Inactive,,,,,,,,,,,,,,,,,,,,,
41,,2017-01-17,24-319,TOR,@,BRK,W (+10),Inactive,,,,,,,,,,,,,,,,,,,,,
42,1,2017-01-18,24-320,TOR,@,PHI,L (-5),0,13:50,4,10,0.4,0,2,0,0,1,0,1,2,3,0,0,0,0,3,8,2.3,-3
43,2,2017-01-20,24-322,TOR,@,CHO,L (-35),0,17:04,1,5,0.2,1,4,0.25,0,0,,0,2,2,1,0,1,1,3,3,-0.3,-11
44,3,2017-01-22,24-324,TOR,,PHO,L (-12),0,11:55,3,6,0.5,1,2,0.5,2,2,1,0,3,3,0,2,0,0,0,9,8.9,-4
45,4,2017-01-24,24-326,TOR,,SAS,L (-2),1,11:53,0,4,0,0,1,0,0,0,,1,1,2,0,1,0,0,3,0,-2,-6
46,5,2017-01-25,24-327,TOR,@,MEM,L (-2),0,15:11,0,5,0,0,2,0,0,0,,1,2,3,0,1,0,1,3,0,-3.4,-1
47,,2017-01-27,24-329,TOR,,MIL,W (+16),Did Not Play,,,,,,,,,,,,,,,,,,,,,
48,6,2017-01-29,24-331,TOR,,ORL,L (-1),0,6:47,0,1,0,0,1,0,0,0,,1,0,1,0,0,0,0,0,0,0,-1
49,,2017-01-31,24-333,TOR,,NOP,W (+2),Did Not Play,,,,,,,,,,,,,,,,,,,,,
50,7,2017-02-01,24-334,TOR,@,BOS,L (-5),0,15:37,5,8,0.625,1,3,0.333,2,5,0.4,2,4,6,1,0,0,0,3,13,10.3,-8
51,8,2017-02-03,24-336,TOR,@,ORL,L (-8),0,8:39,2,6,0.333,0,2,0,0,0,,3,1,4,0,0,0,0,1,4,2.6,7
52,9,2017-02-05,24-338,TOR,@,BRK,W (+8),0,4:51,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-5
53,10,2017-02-06,24-339,TOR,,LAC,W (+9),0,5:33,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,4
54,11,2017-02-08,24-341,TOR,@,MIN,L (-3),0,6:24,0,2,0,0,1,0,0,0,,1,1,2,1,0,0,2,1,0,-2.1,-1
55,,2017-02-12,24-345,TOR,,DET,L (-1),Did Not Play,,,,,,,,,,,,,,,,,,,,,
56,,2017-02-14,24-347,TOR,@,CHI,L (-11),Did Not Play,,,,,,,,,,,,,,,,,,,,,
57,,2017-02-15,24-348,TOR,,CHO,W (+5),Did Not Play,,,,,,,,,,,,,,,,,,,,,
